MatchedGene,Gene description
YWHAH,Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta
GALNT9,Polypeptide N-acetylgalactosaminyltransferase 9
CHN1,Chimerin 1
NRXN1,Neurexin 1
ADGRB2,Adhesion G protein-coupled receptor B2
TRIM9,Tripartite motif containing 9
MAP3K10,Mitogen-activated protein kinase kinase kinase 10
TPPP,Tubulin polymerization promoting protein
MVB12B,Multivesicular body subunit 12B
PNMA2,PNMA family member 2
ERMN,Ermin
CPNE6,Copine 6
FSD1,Fibronectin type III and SPRY domain containing 1
GRM4,Glutamate metabotropic receptor 4
KIF3C,Kinesin family member 3C
PHYHIP,Phytanoyl-CoA 2-hydroxylase interacting protein
DNM1,Dynamin 1
YJEFN3,YjeF N-terminal domain containing 3
RTN1,Reticulon 1
MAP6D1,MAP6 domain containing 1
ARHGAP22,Rho GTPase activating protein 22
OLIG1,Oligodendrocyte transcription factor 1
LIMK1,LIM domain kinase 1
MMP17,Matrix metallopeptidase 17
IDS,Iduronate 2-sulfatase
MEPE,Matrix extracellular phosphoglycoprotein
CNTN2,Contactin 2
CDK5R1,Cyclin dependent kinase 5 regulatory subunit 1
KLK6,Kallikrein related peptidase 6
BCAN,Brevican
FGF1,Fibroblast growth factor 1
FGF17,Fibroblast growth factor 17
CADM3,Cell adhesion molecule 3
EPHA5,EPH receptor A5
FGFR2,Fibroblast growth factor receptor 2
KIRREL3,Kirre like nephrin family adhesion molecule 3
RTN4R,Reticulon 4 receptor
ICAM5,Intercellular adhesion molecule 5
CNDP1,Carnosine dipeptidase 1
PRKCG,Protein kinase C gamma
TAFA5,TAFA chemokine like family member 5
OLFM1,Olfactomedin 1
CARTPT,CART prepropeptide
STMN4,Stathmin 4
WSCD2,WSC domain containing 2
PCDH8,Protocadherin 8
PCDHGA10,"Protocadherin gamma subfamily A, 10"
DEAF1,DEAF1 transcription factor
IGLON5,IgLON family member 5
ADAM11,ADAM metallopeptidase domain 11
CNP,"2',3'-cyclic nucleotide 3' phosphodiesterase"
BRICD5,BRICHOS domain containing 5
LINGO1,Leucine rich repeat and Ig domain containing 1
LRRTM2,Leucine rich repeat transmembrane neuronal 2
STX1B,Syntaxin 1B
CABP7,Calcium binding protein 7
APLP1,Amyloid beta precursor like protein 1
OPALIN,Oligodendrocytic myelin paranodal and inner loop protein
FGF3,Fibroblast growth factor 3
ADAM22,ADAM metallopeptidase domain 22
CRTAM,Cytotoxic and regulatory T cell molecule
UNC5A,Unc-5 netrin receptor A
PCDHGC5,"Protocadherin gamma subfamily C, 5"
LGI3,Leucine rich repeat LGI family member 3
OXT,Oxytocin/neurophysin I prepropeptide
SULT4A1,Sulfotransferase family 4A member 1
CA11,Carbonic anhydrase 11
NRXN2,Neurexin 2
TMEM132B,Transmembrane protein 132B
LRTM2,Leucine rich repeats and transmembrane domains 2
B4GALNT1,"Beta-1,4-N-acetyl-galactosaminyltransferase 1"
JPH3,Junctophilin 3
PSD2,Pleckstrin and Sec7 domain containing 2
NPTX1,Neuronal pentraxin 1
CBLN1,Cerebellin 1 precursor
TAC1,Tachykinin precursor 1
EDIL3,EGF like repeats and discoidin domains 3
TTC9B,Tetratricopeptide repeat domain 9B
SYT2,Synaptotagmin 2
TMEM59L,Transmembrane protein 59 like
DLL3,Delta like canonical Notch ligand 3
