MatchedGene,Gene description
HABP2,Hyaluronan binding protein 2
C4BPA,Complement component 4 binding protein alpha
C6,Complement C6
IGFALS,Insulin like growth factor binding protein acid labile subunit
NADK2,"NAD kinase 2, mitochondrial"
PLG,Plasminogen
AFP,Alpha fetoprotein
MST1,Macrophage stimulating 1
TMPRSS6,Transmembrane serine protease 6
APOC1,Apolipoprotein C1
C3,Complement C3
CES1,Carboxylesterase 1
TTC36,Tetratricopeptide repeat domain 36
CLEC1B,C-type lectin domain family 1 member B
DHODH,Dihydroorotate dehydrogenase (quinone)
UPB1,Beta-ureidopropionase 1
DCXR,Dicarbonyl and L-xylulose reductase
HAAO,"3-hydroxyanthranilate 3,4-dioxygenase"
HMGCS2,3-hydroxy-3-methylglutaryl-CoA synthase 2
KNG1,Kininogen 1
A1CF,APOBEC1 complementation factor
AGT,Angiotensinogen
ASL,Argininosuccinate lyase
C2,Complement C2
CFH,Complement factor H
COLEC10,Collectin subfamily member 10
CYP2C19,Cytochrome P450 family 2 subfamily C member 19
EPO,Erythropoietin
FGL1,Fibrinogen like 1
FTCD,Formimidoyltransferase cyclodeaminase
GLTPD2,Glycolipid transfer protein domain containing 2
IGFBP1,Insulin like growth factor binding protein 1
IL1RAP,Interleukin 1 receptor accessory protein
KDM8,Lysine demethylase 8
ACAT2,Acetyl-CoA acetyltransferase 2
APOA1,Apolipoprotein A1
C1S,Complement C1s
CFI,Complement factor I
CXCL2,C-X-C motif chemokine ligand 2
DECR2,"2,4-dienoyl-CoA reductase 2"
GCHFR,GTP cyclohydrolase I feedback regulator
GSTZ1,Glutathione S-transferase zeta 1
HAMP,Hepcidin antimicrobial peptide
HPD,4-hydroxyphenylpyruvate dioxygenase
INSIG1,Insulin induced gene 1
MTHFD1,"Methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1"
MTHFS,Methenyltetrahydrofolate synthetase
PCSK9,Proprotein convertase subtilisin/kexin type 9
PECR,Peroxisomal trans-2-enoyl-CoA reductase
SERPINA4,Serpin family A member 4
SERPIND1,Serpin family D member 1
SHBG,Sex hormone binding globulin
SULT2A1,Sulfotransferase family 2A member 1
THPO,Thrombopoietin
ACADSB,Acyl-CoA dehydrogenase short/branched chain
APOM,Apolipoprotein M
CP,Ceruloplasmin
CYP3A4,Cytochrome P450 family 3 subfamily A member 4
F11,Coagulation factor XI
FCN2,Ficolin 2
LEPR,Leptin receptor
OAF,Out at first homolog
RNASE4,Ribonuclease A family member 4
CHST4,Carbohydrate sulfotransferase 4
